0,1,2
71.72351,54.159393,anomaly
72.18842,34.999954,anomaly
72.18856,34.99093,anomaly
45.809177,59.966747,anomaly
85.43772,-38.457424,anomaly
66.096344,50.454746,anomaly
67.159225,41.075294,anomaly
58.80433,64.989685,anomaly
69.36721,51.49942,anomaly
63.369392,59.97781,anomaly
46.093773,60.23686,anomaly
58.211994,52.964848,anomaly
72.18989,34.98019,anomaly
54.73298,50.36783,anomaly
63.01194,47.8544,anomaly
41.237034,49.50666,anomaly
63.443436,55.53477,anomaly
51.194416,47.51278,anomaly
59.05137,50.23188,anomaly
67.475784,43.487293,anomaly
39.839344,50.03574,anomaly
69.34144,51.535156,anomaly
57.967865,53.728664,anomaly
67.06819,41.15454,anomaly
41.354927,48.17183,anomaly
0.3628278,95.55613,anomaly
66.49655,50.205135,anomaly
65.6831,50.700985,anomaly
50.73046,57.04821,anomaly
34.32004,21.968359,anomaly
65.16799,37.753952,anomaly
-2.6217794,94.87364,anomaly
85.15304,-38.997086,anomaly
70.08519,58.935467,anomaly
58.50981,-90.60833,anomaly
-2.7151372,94.74365,anomaly
67.34264,64.78639,anomaly
43.924294,58.518223,anomaly
69.4777,41.812042,anomaly
70.67071,40.923977,anomaly
69.0232,43.412518,anomaly
23.519615,23.142593,anomaly
70.077896,58.93972,anomaly
45.79792,59.978016,anomaly
44.102516,60.81303,anomaly
55.5775,44.33052,anomaly
54.28918,57.6562,anomaly
58.683773,51.19531,anomaly
67.25673,43.552628,anomaly
71.723564,54.159405,anomaly
72.18218,35.060215,anomaly
12.186966,70.17152,anomaly
56.854664,47.61624,anomaly
73.671875,42.60416,anomaly
60.96032,48.90588,anomaly
72.21557,34.670956,anomaly
66.588,54.85746,anomaly
64.75799,49.879417,anomaly
66.58276,54.86122,anomaly
58.21909,52.97235,anomaly
69.09471,42.189564,anomaly
70.73329,40.71126,anomaly
70.077675,58.94002,anomaly
17.273653,19.372927,anomaly
-50.81517,-11.744232,anomaly
58.09206,53.480843,anomaly
45.615982,62.84616,anomaly
-2.7752256,94.75488,anomaly
67.3429,64.78634,anomaly
70.70897,43.37798,anomaly
63.371197,59.97801,anomaly
